TIME 	WIND	TEMP	QFE 	QNH
1900Z 	340/05KT 	28 	1007 	1008
2000Z 	020/05KT 	28 	1006 	1007
2100Z 	040/05KT 	27 	1006 	1007
2200Z 	090/04KT 	27 	1006 	1007
2300Z 	VRB/03KT 	27 	1006 	1007
27
0000Z 	110/04KT 	27 	1006 	1007
0100Z 	120/03KT 	27 	1006 	1007
0200Z	090/04KT 	28 	1007 	1008
0300Z 	120/05KT 	28 	1008 	1009
0400Z 	110/05KT 	29 	1008 	1009
0500Z 	160/06KT 	29 	1008 	1009
0600Z 	240/07KT 	29 	1007 	1008
0700Z 	260/09KT 	30 	1007 	1008
0800Z 	270/11KT 	31 	1006 	1007
0900Z 	280/10KT 	30 	1005 	1006
1000Z 	290/10KT 	30 	1004 	1005
1100Z 	290/10KT 	30 	1004 	1005
1200Z 	280/11KT 	30 	1004 	1005
1300Z 	320/08KT	29 	1005 	1006
1400Z 	330/08KT 	29 	1006 	1007
1500Z 	350/08KT 	28 	1006 	1007
1600Z 	050/07KT 	28 	1007 	1008
1700Z 	080/07KT 	27 	1007 	1008
1800Z 	090/06KT    	27    	1006    1007
1900Z   060/05KT    	27    	1006    1007
2000Z   070/05KT    	26    	1005    1006
2100Z   090/05KT    	26    	1004    1005
2200Z 	000/00KT 	25 	1004 	1005
2300Z 	070/04KT 	25 	1005 	1006
28
0000Z 	050/03KT 	26 	1005 	1006
0100Z 	070/04KT 	26 	1006 	1007
0200Z 	090/05KT 	27 	1006 	1007
0300Z 	110/05KT 	27 	1007 	1008
0400Z 	130/06KT 	28 	1007 	1008
0500Z 	340/06KT 	29 	1007 	1008
0600Z 	220/08KT 	30 	1006 	1007
0700Z 	290/08KT 	31 	1005 	1006
0800Z 	300/10KT 	31 	1004 	1005
0900Z 	280/10KT	31 	1004 	1005
1000Z 	290/10KT 	30 	1003 	1004
1100Z 	300/10KT 	29 	1003 	1004
1200Z 	300/08KT 	29 	1004 	1005
1300Z 	350/08KT	29 	1003 	1004
1400Z 	340/06KT 	28 	1003 	1004
1500Z 	350/05KT 	28 	1004 	1005
1600Z 	030/06KT 	28 	1005 	1006
1700Z 	040/05KT 	27 	1005 	1006
1800Z 	030/06KT    	27    	1004    1005
1900Z 	070/04KT 	27 	1004 	1005
2000Z 	330/06KT 	27 	1003 	1004
2100Z 	330/06KT 	27 	1003 	1004
2200Z 	040/05KT 	27 	1003 	1004
2300Z 	070/04KT 	26 	1003 	1004
29
0000Z 	060/04KT 	26 	1004 	1005
0100Z 	070/05KT 	26 	1004 	1005
0200Z	100/04KT 	27 	1005 	1006
0300Z 	060/06KT 	28 	1006 	1007
0400Z 	140/06KT 	29 	1006 	1007
0500Z 	050/06KT 	30 	1006 	1007
0600Z 	330/08KT 	32 	1005 	1006
0700Z 	340/07KT 	32 	1004 	1005
0800Z 	290/10KT 	32 	1003 	1004
0900Z 	280/12KT 	32 	1003 	1004
1000Z 	290/11KT 	30 	1002 	1003
1100Z 	280/11KT 	29 	1002 	1003
1200Z 	300/10KT 	28 	1002 	1003
1300Z 	090/08KT	29 	1003 	1004
1400Z 	100/07KT 	29 	1003 	1004
1500Z 	080/06KT 	29 	1006 	1005
1600Z 	090/07KT 	28 	1004 	1005
1700Z 	110/06KT 	28 	1005 	1006
1800Z 	120/05KT    	28    	1005    1006
1900Z   070/04KT    	28    	1004    1005
2000Z   050/04KT    	27    	1003    1004
2100Z   060/03KT    	27    	1003    1004
2200Z 	110/05KT 	27 	1003 	1004
2300Z 	120/05KT 	26 	1003 	1004
30
0000Z 	110/05KT 	26 	1003 	1004
0100Z 	130/05KT 	27 	1004 	1005
0200Z	090/05KT 	27 	1004 	1005
0300Z 	070/07KT 	28 	1005 	1006
0400Z 	040/06KT 	29 	1006 	1007
0500Z 	050/07KT 	30 	1006 	1007
0600Z 	020/05KT 	31 	1005 	1006
0700Z 	350/07KT 	31 	1005 	1006
0800Z 	350/08KT 	32 	1004 	1005
0900Z 	340/11KT 	32 	1003 	1004
1000Z 	330/10KT 	31 	1002 	1003
1100Z 	350/09KT 	30 	1002 	1003
1200Z 	040/08KT 	30 	1002 	1003
1300Z 	050/08KT	29 	1003 	1004
1400Z 	060/07KT 	29 	1003 	1004
1500Z 	050/06KT 	29 	1004 	1005
1600Z 	070/08G18KT 	29 	1004 	1005
1700Z 	100/08G18KT 	28 	1004 	1005
1800Z 	080/08KT    	28    	1004    1005
1900Z   050/03KT    	27    	1004    1005
2000Z   000/00KT    	27    	1003    1004
2100Z   020/03KT    	27    	1003    1004
2200Z 	VRB/03KT 	26 	1002 	1003
2300Z 	070/06KT 	26 	1002 	1003



				
				
